contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,expiry,days_to_expiry,spot_price,moneyness,date_collected
SPY250630C00559000,2025-06-26 19:03:07+00:00,559.0,52.69,54.44,56.58,0.0,0.0,5.0,9,0.7739280419921876,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9090761646642054,2025-06-29 12:49:52.353214
SPY250630C00560000,2025-06-27 14:18:41+00:00,560.0,55.04,53.45,55.58,4.3100014,8.495962,43.0,104,0.7622094091796876,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9107024189838193,2025-06-29 12:49:52.353214
SPY250630C00561000,2025-06-24 13:44:14+00:00,561.0,44.68,52.45,54.58,0.0,0.0,1.0,116,0.7504907763671875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9123286733034333,2025-06-29 12:49:52.353214
SPY250630C00562000,2025-06-27 19:55:23+00:00,562.0,52.66,51.45,53.58,7.970001,17.833971,8.0,184,0.7385280053710936,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9139549276230473,2025-06-29 12:49:52.353214
SPY250630C00563000,2025-06-23 17:39:10+00:00,563.0,36.62,50.45,52.58,0.0,0.0,4.0,422,0.726565234375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9155811819426612,2025-06-29 12:49:52.353214
SPY250630C00564000,2025-06-26 15:13:10+00:00,564.0,46.73,49.45,51.59,0.0,0.0,1.0,1093,0.7172879833984375,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9172074362622752,2025-06-29 12:49:52.353214
SPY250630C00565000,2025-06-27 19:57:01+00:00,565.0,49.86,48.45,50.59,3.6599998,7.922077,17.0,1083,0.7050810742187501,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9188336905818891,2025-06-29 12:49:52.353214
SPY250630C00566000,2025-06-27 15:19:40+00:00,566.0,49.15,47.45,49.59,8.460003,20.791357,1.0,852,0.69336244140625,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9204599449015031,2025-06-29 12:49:52.353214
SPY250630C00567000,2025-06-27 18:04:37+00:00,567.0,47.32,46.45,48.59,2.5900002,5.7902975,5.0,1070,0.6816438085937502,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9220861992211171,2025-06-29 12:49:52.353214
SPY250630C00568000,2025-06-27 17:50:29+00:00,568.0,45.78,45.45,47.59,2.0699997,4.735758,4.0,1280,0.6699251757812501,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9237124535407311,2025-06-29 12:49:52.353214
SPY250630C00569000,2025-06-27 19:22:00+00:00,569.0,43.26,44.45,46.59,0.45999908,1.0747643,1.0,1192,0.6577182666015625,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.925338707860345,2025-06-29 12:49:52.353214
SPY250630C00570000,2025-06-27 20:01:30+00:00,570.0,44.58,43.92,45.59,2.880001,6.9064775,27.0,4135,0.6459996337890624,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9269649621799589,2025-06-29 12:49:52.353214
SPY250630C00571000,2025-06-26 14:12:31+00:00,571.0,38.62,42.45,44.59,0.0,0.0,1.0,538,0.6340368627929689,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.928591216499573,2025-06-29 12:49:52.353214
SPY250630C00572000,2025-06-27 13:48:04+00:00,572.0,41.59,41.45,43.59,5.7700005,16.10832,2.0,1107,0.622074091796875,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9302174708191869,2025-06-29 12:49:52.353214
SPY250630C00573000,2025-06-27 19:41:47+00:00,573.0,40.1,40.46,42.59,1.2899971,3.323878,1.0,664,0.6103554589843752,True,REGULAR,USD,SPY,2025-06-30,0,614.9099731445312,0.9318437251388009,2025-06-29 12:49:52.353214
